PROJECT CODE,SASid,FAILURE TYPE,FAILURE CATEGORY,SUBCATEGORY,DATE,OBSERVING HOURS LOST,LST RANGE,IS THIS A REPEAT?  (Y/N),PI ACCEPTED DATA ANYWAY (Y/N),NOTES,THIS,COLUMN,IS ,ANNOYING
LT10_004,L653832,Oscillating tile,STATION,OSCILLATING,2018-05-22,0.17,2-3,N,N,,,TOTAL LOST ->,158.25,
LT10_005,"L654218, 222, 226, 230, 234, 238",100% data loss for CS006 and CS007,STATION,TEMPERATURE,2018-05-26,6.00,"7-8, 6-10, 0-1",N,N,High temperatures in the cabinets for CS006 and CS007 (flagging all the data),,,,
LC10_015,L654592,100% data loss for CS006 and CS007,STATION,TEMPERATURE,2018-05-27,1.00,0-1,N,"N
",High temperatures in the cabinets,,,,
LT10_015,"L65 448, 452, 456, 460, 464, 468, 472, 464, 404, 408, 412, 416, 728","100% data loss for more than 4 stations (stations affected: CS001, CS006, CS007, CS011, CS030, CS101, CS103, CS017 and CS201)",STATION,TEMPERATURE,2018-05-28,3,"8-12, 19-0",N,N,High temperatures in the cabinets,,,,
LT10_015,"L654440, 444, 488, 492","100% data loss for more than 4 stations (stations affected: CS001, CS006, CS007, CS011, CS030, CS101, CS103, CS017 and CS201)",STATION,TEMPERATURE,2018-05-28,1,8-10,N,"TBC
",High temperatures in the cabinets,,,,
LT10_010,L654714,Array resumed too late for proper recording data,HUMAN,DATA LOSS,2018-05-28,0.13,13,N,,Manual shut down and resume of the array because of high temperature in stations cabinets,,,,
LT10_010,"L655774,655778",100% flagging of CS and RS stations,STATION,TEMPERATURE,2018-05-30,4.33,9-13,N,N,High temperatures in the cabinets,,,,
LT10_010,"L655836,840",100% flagging of more than 4 stations,STATION,TEMPERATURE,2018-05-31,4.33,0-4,N,N,High temperatures in the cabinets,,,,
LC10_020,"L655570, run 6, run7",100% flagging of more than 4 stations,STATION,TEMPERATURE,2018-05-30,3.00,5-8,N,N,"High temperatures in the cabinets, no OBSid for the runs that  were cancelled",,,,
LT10_010,"L657004,65708,657014",100% flagging of more than 4 stations,STATION,SETUP,2018-06-06,4.33,9-13,N,N,Clock control failed,,,,
LT10_010,"L657034,657038,657044",100% flagging of more than 4 stations,STATION,TEMPERATURE,2018-06-07,4.33,0-4,N,N,High temperatures in the cabinets,,,,
LC9_023,"L654702,654706,654710",100% flagging of 1 station,STATION,DATA-LOSS,2018-06-10,3.00,4-7,N,N,CS006 fault with Infiniband network or splitter unit,,,,
LT10_010,L657148,Process terminated after 5 min instead of 8 hours,CEP4,SETUP,2018-06-09,8.33,5-13,N,N,,,,,
LT10_005,L654694,oscillating tile in CS004,STATION,OSCILLATING,2018-06-08,1.00,5-6,N,N,oscillating tile in CS004,,,,
LT10_004,"L657528,657564,657596,657732",oscillating tile in CS024,STATION,OSCILLATING,2018-06-16,0.92,"17-18,13-14,20-21, 23-00",N,N,oscillating tile in CS024,,,,
LC10_001,"657386, 657380, 657376",about 50% flagging in all international stations,HUMAN,SETUP,2018-06-19,4.33,1-4,N,N,Wrong eVLBI entry in schedule,,,,
LT10_005,"658542, 658546",CS006 rsp board failed,STATION,RSP,2018-06-24,2.00,12-13,N,N,,,,,
LC9_023,658538,huge data drop-outs up to 50+% for 45 beams,COBALT,DATA-LOSS,2018-06-23,1.00,13-14,N,N,,,,,
